epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,827.868,0.91418,0.77597,1.33574,0.84156,0.66164,0.77249,0.53442,1.1927,1.06089,1.60691,0.00586675,0.00586675,0.00586675
169,832.584,0.93767,0.79287,1.3502,0.87217,0.70825,0.80543,0.58221,1.0743,0.94737,1.53611,0.005842,0.005842,0.005842
170,837.588,0.91363,0.75891,1.33286,0.79849,0.7474,0.80905,0.59513,1.05429,0.94976,1.50769,0.00581725,0.00581725,0.00581725
171,841.986,0.91984,0.7487,1.31985,0.84758,0.73121,0.83791,0.6137,1.03358,0.87166,1.47797,0.0057925,0.0057925,0.0057925
172,846.232,0.89413,0.76763,1.33479,0.87169,0.6609,0.79331,0.56819,1.11448,0.96128,1.5041,0.00576775,0.00576775,0.00576775
173,852.078,0.90754,0.75307,1.32652,0.85868,0.67128,0.80754,0.59294,1.00105,0.94085,1.4681,0.005743,0.005743,0.005743
174,856.253,0.88309,0.73507,1.30724,0.84996,0.68608,0.81018,0.60051,0.99599,0.90835,1.47825,0.00571825,0.00571825,0.00571825
175,860.584,0.87538,0.74759,1.31393,0.81156,0.73022,0.81322,0.58851,1.04701,0.94383,1.50055,0.0056935,0.0056935,0.0056935
176,866.536,0.87453,0.73089,1.30854,0.80975,0.70934,0.78626,0.56254,1.06145,0.98752,1.54092,0.00566875,0.00566875,0.00566875
177,870.764,0.89288,0.72702,1.30915,0.87957,0.68858,0.80597,0.58485,1.04793,0.92959,1.50479,0.005644,0.005644,0.005644
178,874.85,0.89195,0.73227,1.31368,0.90019,0.7178,0.83666,0.61253,0.99718,0.8444,1.46428,0.00561925,0.00561925,0.00561925
179,880.374,0.87527,0.72474,1.29953,0.85817,0.73281,0.82151,0.58721,1.06784,0.87406,1.49645,0.0055945,0.0055945,0.0055945
180,884.95,0.88023,0.73402,1.31468,0.91148,0.71255,0.8431,0.6166,1.0086,0.83389,1.47296,0.00556975,0.00556975,0.00556975
181,889.14,0.88929,0.73459,1.31094,0.85781,0.73063,0.83217,0.6008,1.01228,0.85827,1.48879,0.005545,0.005545,0.005545
